"订单编号","支付单号","支付详情","买家应付货款","买家应付邮费","买家支付积分","总金额","返点积分","买家实际支付金额","买家实际支付积分","订单状态","买家留言","运送方式","订单创建时间","订单付款时间 ","宝贝标题 ","宝贝种类 ","物流单号 ","物流公司","订单备注","宝贝总数量","店铺Id","店铺名称","订单关闭原因","卖家服务费","买家服务费","发票抬头","是否手机订单","分阶段订单信息","特权订金订单id","是否上传合同照片","是否上传小票","是否代付","定金排名","修改后的sku","异常信息","天猫卡券抵扣","集分宝抵扣","是否是O2O交易","新零售交易类型","新零售导购门店名称","新零售导购门店id","新零售发货门店名称","新零售发货门店id","退款金额","预约门店","确认收货时间","打款商家金额","含应开票给个人的个人红包","是否信用购","体验期结束时间","前N有礼","配送类型","直播返现状态","返现金额","延迟发货赔付金额","新零售成交门店昵称","新零售成交门店id","新零售成交经销商id ","预售订单","发货时间","商家备忘","主订单编号"
="3242180234349940012",="2023030622001159111420985267","支付方式：支付宝，支付单号：2023030622001159111420985267，金额：823.00；","800.00","23.00","0","823.00","0","823.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 19:08:38","2023-03-06 19:08:46","Nike Air Zoom G.T. Cut 2 减震防滑 耐磨实战篮球鞋  DJ6013-001","1","","null","'J 785 追夢人","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="J 785 追夢人",=""
="3242122310398511721",="2023030622001120651439469331","支付方式：支付宝，支付单号：2023030622001120651439469331，金额：562.00；","550.00","12.00","0","562.00","0","562.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 18:41:36","2023-03-06 18:41:41","Nike耐克 Dunk Low 轻便耐磨 复古运动休闲板鞋 灰白黑DQ0380-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'p 516顺   -","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="p 516顺   -",=""
="3242366607382027240",="2023030622001189171413283383","支付方式：支付宝，支付单号：2023030622001189171413283383，金额：553.00；","541.00","12.00","0","553.00","0","553.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 18:29:49","2023-03-06 18:29:52","Air Jordan 1 Mid AJ1中帮复古 运动实战篮球鞋 白蓝色555112-401","1","","null","'现货","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="现货",=""
="3242093330214050943",="2023030622001140031403497073","支付方式：支付宝，支付单号：2023030622001140031403497073，金额：602.00；","590.00","12.00","0","602.00","0","602.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 18:27:51","2023-03-06 18:28:00","Air Jordan1 MID AJ1白黄 经典复古休闲潮流中帮篮球鞋DM9126-104，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="1837983936634355569",="2023030622001163531437301151","支付方式：支付宝，支付单号：2023030622001163531437301151，金额：363.00；","351.00","12.00","0","363.00","0","363.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 17:42:37","2023-03-06 17:42:41","耐克Nike SB Alleyoop 黑脚趾 低帮 潮流 运动休闲板鞋CJ0882-102，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'p 330  包子不是肉包","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="p 330  包子不是肉包",=""
="1838764166729805678",="2023030622001137371435152137","支付方式：支付宝，支付单号：2023030622001137371435152137，金额：677.00；","665.00","12.00","0","677.00","0","677.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 17:20:31","2023-03-06 17:21:27","Nike耐克 Dunk High 经典高帮 防滑透气休闲鞋 浅棕白 DD3362-200，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'退货","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="退货",=""
="3242101359281251808",="2023030622001109991426094444","支付方式：支付宝，支付单号：2023030622001109991426094444，金额：650.00；","638.00","12.00","0","650.00","0","650.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 16:28:35","2023-03-06 16:30:33","Nike耐克 Dunk Low 低帮 经典休闲时尚运动板鞋 白橙黑DH9765-003","1","","null","'现货","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="现货",=""
="1838700266887364374",="2023030622001143581455632466","支付方式：支付宝，支付单号：2023030622001143581455632466，金额：643.00；","620.00","23.00","0","643.00","0","643.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 16:12:58","2023-03-06 17:02:02","Nike Air Force1 AF1  白灰棕 低帮 复古潮流休闲板鞋 FB1857-111，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'p 582  愚野","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="p 582  愚野",=""
="3241757774256522104",="2023030622001157181407363010","支付方式：支付宝，支付单号：2023030622001157181407363010，金额：452.00；","440.00","12.00","0","452.00","0","452.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 15:48:43","2023-03-06 15:48:49","NIKE耐克 Zoom 2K 低帮复古 时尚运动 休闲系带老爹鞋 AO0354-107，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:772019722353457","申通快递","'p 399  A 叫我包子就好了","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 16:22:25",="p 399  A 叫我包子就好了",=""
="1838638887498139586",="2023030622001144481414155268","支付方式：支付宝，支付单号：2023030622001144481414155268，金额：382.00；","370.00","12.00","0","382.00","0","382.00","0","卖家已发货，等待买家确认","不放店铺信息","快递","2023-03-06 15:28:35","2023-03-06 15:28:45","Nike Blazer Low 白银 时尚潮流 复古运动轻便休闲板鞋DC4769-113，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1407237737038","顺丰速运","'p 345  Yaonuli1919","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 17:40:58",="p 345  Yaonuli1919",=""
="3241967511600732842",="2023030622001163941407770425","支付方式：支付宝，支付单号：2023030622001163941407770425，金额：0.00；","760.00","12.00","0","772.00","0","0.00","0","交易关闭","null","快递","2023-03-06 15:22:30","2023-03-06 15:22:59","Nike耐克Dunk Low 轻便耐磨 低帮运动休闲板鞋 白灰色 DD1503-117","1","","null","'null","1","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","772.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="3241900335412823335",="2023030622001186001408608744","支付方式：支付宝，支付单号：2023030622001186001408608744，金额：1102.00；","1090.00","12.00","0","1102.00","0","1102.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 14:48:32","2023-03-06 14:48:40","Air Jordan 1 Low AJ1 黑粉脚趾 男女同款 低帮篮球鞋 553558-034，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1503359454326","顺丰速运","'0 1020 三轮车Sneaker【木木 03-06 22:07】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 15:13:23",="0 1020 三轮车Sneaker【木木 03-06 22:07】",=""
="1838613002972193385",="2023030622001190731425061226","支付方式：支付宝，支付单号：2023030622001190731425061226，金额：682.00；","670.00","12.00","0","682.00","0","682.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 14:35:32","2023-03-06 15:26:37","Air Jordan 1 Low AJ1 复古低帮 轻便运动篮球鞋 灰蓝 DQ4151-500，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'p 630  Moose","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="p 630  Moose",=""
="3241446877651838620",="2023030622001120241406279091","支付方式：支付宝，支付单号：2023030622001120241406279091，金额：662.00；","650.00","12.00","0","662.00","0","662.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 14:22:44","2023-03-06 14:22:48","Nike Air Force1 AF1  白灰棕 低帮 复古潮流休闲板鞋 FB1857-111，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1150186233992","顺丰速运","'p 611  ***","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 15:08:13",="p 611  ***",=""
="3241818615661836922",="2023030622001113301442649558","支付方式：支付宝，支付单号：2023030622001113301442649558，金额：572.00；","560.00","12.00","0","572.00","0","572.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 14:07:48","2023-03-06 14:12:12","Nike耐克 Kyrie 8运动实战篮球鞋 欧文8 灰黄色 国内版DM0855-500，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'退货","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="退货",=""
="3240614232782517059",="2023030622001156081403707856","支付方式：支付宝，支付单号：2023030622001156081403707856，金额：0.00；","480.00","12.00","0","492.00","0","0.00","0","交易关闭","null","快递","2023-03-06 13:30:28","2023-03-06 13:31:20","Nike耐克 Air Force 1 Low 减震防滑 运动休闲鞋 白灰 CW5909-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'p 458  小谢","2","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","492.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="p 458  小谢",=""
="3241339633832150935",="2023030622001115601417195887","支付方式：支付宝，支付单号：2023030622001115601417195887，金额：0.00；","457.00","12.00","0","469.00","0","0.00","0","交易关闭","null","快递","2023-03-06 13:27:37","2023-03-06 13:27:42","Nike Air Zoom Pegasus 38 减震舒适 运动跑步鞋 黑白 CW7356-002","1","","null","'C 439 亦","1","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","469.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="C 439 亦",=""
="3241340785419773209",="2023030622001173661406562596","支付方式：支付宝，支付单号：2023030622001173661406562596，金额：492.00；","480.00","12.00","0","492.00","0","492.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 13:27:23","2023-03-06 13:29:08","Nike Air Force 1 Low AF1白绿 潮流休闲舒适经典板鞋 DX1156-100","1","No:YT7089830378391","圆通速递","'p 450  M","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 13:34:55",="p 450  M",=""
